"","wt00","wt02","wt05","wt10","wt15","wt20","wt30","wt45"
"YHL011C",106,129,628,1141,1305,1514,1883,1086
"YHL010C",637,571,418,273,163,167,196,228
"YHL009C",338,321,315,246,183,188,232,195
"YHL009W-B",308,297,332,238,164,153,156,152
"YHL008C",758,577,559,305,230,239,284,264
"YHL007C",480,371,850,1100,1050,1123,1262,879
"YHL006W-A",4,4,7,2,0,0,0,3
"YHL006C",34,32,45,37,26,23,20,17
"YHL004W",515,503,456,428,386,318,341,338
"YHL003C",526,494,539,619,560,548,838,962
"YHL002W",1058,1016,697,498,360,360,376,334
"YHL001W",109,118,345,930,1264,1848,3070,2895
"YHR001W",991,931,787,716,622,731,711,630
"YHR001W-A",1099,1146,985,611,273,144,93,185
"YHR002W",383,323,177,146,86,73,113,101
"YHR003C",204,230,443,518,440,510,510,377
"YHR004C",691,576,462,562,341,298,300,362
"YHR005C",390,351,631,1146,1247,1326,1182,942
"YHR005C-A",977,893,879,870,827,839,970,750
"YHR006W",808,803,913,831,551,492,538,478
"YHR007C",477,455,1292,3565,4458,5923,8533,6518
"YHR007C-A",115,136,126,100,61,45,27,45
"YHR008C",1912,1960,1800,1089,665,502,397,549
"YHR009C",1424,1183,1070,971,721,751,848,848
"YHR010W",137,134,484,1523,2182,3367,6511,8509
"YHR011W",310,190,151,138,106,94,103,122
"YHR012W",347,404,417,500,433,388,384,361
"YHR013C",149,170,213,355,357,506,568,514
"YHR014W",4,2,2,3,3,0,8,4
"YHR015W",22,35,29,30,30,31,39,34
"YHR016C",2146,1888,1408,595,303,226,169,280
"YHR017W",928,836,430,263,189,199,249,222
"YHR018C",383,416,1048,2994,2860,2364,3393,2213
"YHR019C",169,181,586,1463,1645,2298,4166,4114
"YHR020W",82,69,463,1399,1712,2515,3494,2697
"YHR021C",67,69,207,739,1046,1508,2998,4094
"YHR021W-A",5,7,7,5,3,8,1,8
"YHR022C",60,100,519,330,51,13,11,14
"YHR023W",532,465,341,1296,1278,1404,1541,1480
"YHR024C",543,452,481,469,391,424,451,327
"YHR025W",65,79,225,549,620,842,1281,1329
"YHR026W",558,523,583,647,583,689,937,1087
"YHR027C",3922,3488,2853,2620,2470,2673,2866,2641
"YHR028C",2691,2611,2564,1929,1379,1235,1336,1288
"YHR029C",228,250,224,289,252,209,257,219
"YHR030C",428,345,1040,1731,1001,723,641,452
"YHR031C",84,95,161,221,256,443,572,351
"YHR032W",204,177,384,386,368,517,567,382
"YHR032W-A",20,14,26,41,33,55,58,51
"YHR033W",165,163,107,93,50,84,157,147
"YHR034C",117,133,104,181,117,131,132,98
"YHR035W",54,38,60,70,58,67,69,61
"YHR036W",133,78,148,182,175,206,213,202
"YHR037W",1263,1054,983,745,537,482,478,411
"YHR038W",341,315,237,175,144,118,107,109
"YHR039C",489,425,548,822,823,951,1138,1148
"YHR039C-A",1250,1248,1410,1406,1262,1376,1749,1968
"YHR040W",33,51,173,195,183,240,274,170
"YHR041C",24,22,49,65,71,90,116,133
"YHR042W",489,438,532,796,868,1081,1802,1685
"YHR043C",939,973,791,471,302,202,188,184
"YHR044C",139,124,120,94,62,57,68,59
"YHR045W",361,319,346,373,410,410,541,425
"YHR046C",19,29,172,319,328,464,384,223
"YHR047C",1130,1197,1122,986,666,492,418,530
"YHR048W",25,22,73,49,47,65,80,44
"YHR049W",36,64,197,198,241,283,426,407
"YHR050W",794,637,460,345,344,340,437,490
"YHR050W-A",50,47,39,41,30,25,24,29
"YHR051W",2372,2282,1843,1343,775,498,410,552
"YHR052W",7,26,569,1058,1034,1329,1430,746
"RUF5-1",35,40,34,11,6,7,9,15
"YHR053C",4133,4220,3358,1974,1241,1222,1702,1201
"YHR054C",250,281,226,173,163,177,208,190
"RUF5-2",43,45,40,23,8,11,7,17
"YHR055C",4073,4073,3333,1996,1317,1194,1687,1157
"YHR056C",712,760,622,536,432,502,556,506
"YHR057C",661,655,671,515,377,331,360,335
"YHR058C",142,167,206,173,137,131,160,106
"YHR059W",188,133,157,170,119,120,120,89
"YHR060W",274,303,315,324,355,322,394,354
"YHR061C",45,21,90,150,92,129,147,139
"YHR062C",16,13,51,176,180,255,300,182
"YHR063C",275,275,391,604,706,781,943,852
"YHR063W-A",1,1,0,1,2,3,1,4
"YHR064C",354,380,1067,2134,2280,3302,5826,6015
