"","wt00","wt02","wt05","wt10","wt15","wt20","wt30","wt45"
"YKR083C",6.91012019245143,6.79490381497924,6.77190916015387,7.07023312491642,7.27919087053782,7.05832549447759,7.16340910234903,7.27861234587447
"YKR084C",9.07748177410793,9.05951169319661,9.21453209524896,9.38816869807552,9.58183601582434,9.68868231079584,9.75382322620227,9.65964878164737
"YKR085C",8.35078248713514,8.21508046952653,7.42874561444077,7.52414063623663,7.81885378074069,7.51096013033346,7.58205364680889,7.66851876620276
"YKR086W",8.00085507827894,7.8502527870023,8.78733227325605,8.9768745782585,8.95279082598693,9.1682079374467,9.27646447575413,9.04473257278712
"YKR087C",8.97224297654753,9.10238878841868,8.06438593267166,7.94489811704747,7.91412055001671,7.88858188609308,7.81012351699149,7.80315313886123
"YKR088C",8.56861584840928,8.80103643648019,8.4291624676961,8.16519724637139,8.2372435083857,8.21962569871913,8.18501392671505,8.59910235201399
"YKR089C",11.653963195061,11.6435682885199,10.7673953549529,10.0116497513543,9.66244259693511,9.40494411978075,9.35085339587474,9.7606452518074
"YKR090W",7.71796845218971,7.61139110378971,7.27419523429185,8.13306156137269,8.37756961738963,8.72286551255919,9.01367217452977,8.96836000167758
"YKR091W",8.4481925862323,8.26311284817298,8.71105900165984,8.91612385699841,7.946675128803,6.93504555221603,6.41665048702934,6.82487056635483
"YKR092C",6.64833822453604,6.88363117800219,9.07168559606029,9.60616899586631,9.31635585175903,9.92406313061429,10.326615054139,9.80185490870766
"YKR093W",10.3842109350755,10.1714725695263,12.4251335577222,11.0399095960854,7.77601702177257,5.25830594482015,4.72676316613961,8.00486231375984
"YKR094C",6.606736550993,6.4576845741815,8.01154986720896,9.82022802986677,10.6033256972822,11.2899169209167,12.1801966454894,12.6995206652886
"YKR095W",11.0914975065389,11.0505094974287,10.7232708109386,10.4960707783975,10.5268032785723,10.7483582133418,10.9435518784092,11.2405369758739
"YKR095W-A",5.82227489745971,5.66244512546974,5.50349087709244,6.55038784131784,6.8264100864553,7.07009314250589,7.09375134540868,7.14619350189142
"YKR096W",11.0520145655441,10.9637907282886,10.3866898896909,9.60282083734833,9.23434843868405,9.16546845114552,8.89584432783702,9.17591210048057
"YKR097W",9.97279310805617,10.4927961364521,10.2430353405109,9.49135828431247,8.48342808152883,7.88858188609308,6.51130698942964,4.77648881592407
"YKR098C",10.4523224038001,10.3466454028296,9.19096526476975,6.82788438536856,6.8264100864553,6.39497647958737,5.63499676680561,6.56241482431031
"YKR099W",5.74762829281354,5.54286356862683,8.04539596885086,8.45983537364048,8.97820773649203,9.3815282221856,9.12259897779947,8.3111149020662
"YKR100C",9.33899489143912,9.40389686754036,9.39225028405573,8.98461326908722,8.94958199379786,8.87817141924742,8.97545560359339,8.95014621983964
"YKR101W",7.88964433957795,7.77935391452163,8.02615268373651,7.8744468773517,8.021933410946,7.82055486105644,7.74020633902033,7.73386132804167
"YKR102W",7.05118732922197,6.88363117800219,5.75823799297633,5.72937262403575,5.75522701790289,5.85662682227337,6.41665048702934,6.75662647659058
"YKR103W",7.43073668543763,7.46299109993549,6.74861185947484,6.41943512005374,6.4439374663828,6.55430048942771,7.08351980641044,7.47825053769595
"YKR104W",6.39494572990128,5.89992119000808,4.84301617414165,4.79232885722857,5.22787272275931,5.37693638269639,5.79417950938425,6.37480564284115
"YKR105C",3.66635460574035,3.93602572663187,4.1811408168723,4.64318650558869,3.71263489983788,2.88654253306903,1.83555695506108,2.60547898624627
"YKR106W",5.37019316903199,5.74603201317042,5.35692711104119,4.79232885722857,3.83074605449114,4.6517678170933,4.49819742508867,4.16388974144371
