"m.z","p.value","t.score"
248.1035,0.185535266466742,-1.59263464930631
248.161,0.000487808343501919,-6.17894465872952
248.2226,0.0659353917328273,-2.33959886505091
249.0651,1.39939966591448e-07,-17.8941686594741
249.1087,0.0400177692694002,-2.69908362240142
250.0392,0.00790735163552521,-3.8586762995249
250.9342,0.805904158240106,-0.298481511614187
251.0233,4.31785805922836e-06,-11.6185426539555
251.0702,0.000553849258420173,-6.07257283339717
252.0732,0.0792504995509023,-2.20888593524291
252.1083,1.34228837238665e-09,39.4684695670704
252.1085,2.55367897485025e-06,12.4885742646538
252.1235,0.0504938479114994,2.52544569143241
252.1236,0.04499654708477,2.60844078466534
252.9096,0.0161521955956752,-3.35751301116047
252.9191,0.0297465667896968,-2.91257479364067
253.0304,0.0566555295173866,-2.44408370906745
253.0938,0.0119739258945317,-3.5708674405378
253.1115,1.61633274661803e-07,17.5292426759033
253.2142,0.153028610957689,-1.73591887281204
254.1123,0.0505694896426184,2.52138634173379
254.5496,2.45156232000685e-07,16.5857852411967
254.5896,0.153028610957689,1.73587803092066
254.6077,3.05756648332631e-05,9.07455802624885
254.89,0.118693303282175,-1.92171495865463
255.0817,0.00567471139013181,-4.11771584690511
255.0981,0.0474344997841323,-2.57245202821545
255.1457,0.000585606079507669,-6.01284253650121
256.082,0.973036050824916,0.0422995829968696
256.0821,5.94198474612426e-06,11.137876566728
256.0836,0.891812263649445,-0.169913546658616
256.1297,0.000359867886440471,6.50210274752984
256.9776,0.00255453573194786,-4.72048044868868
257.0141,1.13949847869853e-06,13.8789493177197
