Sample,wt_H1,wt_L4,wt_L5,wt_L6,wt_H2,wt_H3,wt_H4,wt_H5,wt_H6,wt_L1,wt_L2,wt_L3
Label,wt_H,wt_L,wt_L,wt_L,wt_H,wt_H,wt_H,wt_H,wt_H,wt_L,wt_L,wt_L
114.0659,362.6858518,281.8237189,308.6440603,383.1109465,313.8252212,416.2246912,284.4970965,419.4913628,176.6279855,347.8279144,264.0117896,341.6096618
235.0495,3241.443452,17675.86352,18281.35818,15501.47657,3371.202585,3379.088088,2704.548884,3158.894952,2723.677605,16242.7873,9756.703031,12265.87038
423.1806,39118.90599,38806.42255,42750.34917,18787.59071,50559.95701,44777.47283,19439.39069,40269.16074,34105.1886,39088.11034,17144.84428,30161.18424
940.5462,0,0,0,0,0,0,0,0,0,0,0,0
171.0763,2973.695261,986.5015048,611.3427914,1164.040497,1414.793642,1469.749619,1800.104812,1175.059038,3162.446959,604.8543547,801.7425794,696.5973066
430.2447,26873.07577,35158.22143,34078.63724,19070.13666,39541.68384,23315.3019,29587.17835,20159.64875,21546.54858,13358.35327,70679.7365,34275.78051
146.0605,4739.850999,4671.792078,4704.254644,4210.752856,4129.921965,4520.107072,2925.521287,4011.584239,4413.337113,3698.431752,2772.217989,3631.547768
173.092,7709.538651,8524.836954,9841.884309,7777.138004,8233.988756,12022.57272,4117.312664,7910.432243,5716.705225,11880.34509,4702.383171,10208.91116
713.4235,2074.189647,5799.78208,2726.146218,3294.814825,1269.290725,1973.452847,1224.460488,3131.195257,1333.437907,623.5793204,10265.95908,2956.604213
379.1655,13462.06174,32085.99043,37001.64645,20429.39514,15947.45575,31035.47232,6367.614067,24134.64168,10648.19531,40419.60835,8784.350297,33766.71252
205.08,102169.5344,146392.592,102344.4962,61605.41207,113812.6641,58711.14165,81840.48653,105783.3698,131552.4824,41321.84588,242886.8313,119107.9602
567.3653,0,0,0,0,0,0,0,0,90.04758534,0,1371.826205,0
415.2125,8242.162224,11301.25794,12288.94029,13318.06644,11336.95938,10991.96405,9663.435796,10987.31766,9888.668079,9238.809877,16665.39349,10436.62717
193.1188,26282.9773,49013.04121,55936.80533,23002.2128,34919.43264,54055.25257,11166.91911,42240.74743,25599.62597,61552.33435,12040.86579,44911.42486
229.0978,10685.30202,1766.240635,1679.274853,2787.443012,8506.267969,4536.083187,1177.958407,5719.465572,4836.46407,5167.234374,176.4597195,2301.644747
212.1021,1498.061009,691.0989469,1238.510585,768.6714207,1196.523029,1597.048668,477.5378446,1511.497071,1076.408012,1256.01204,512.4177062,1234.979414
160.0761,1458.238145,5328.174897,4611.105749,311.1808401,4372.342295,4635.942061,201.0989742,1905.530187,335.3521528,4501.875597,196.2683912,5602.165943
190.9539,89757.92691,112970.2893,117466.2719,121129.8458,79348.83827,94407.72251,78016.30832,100394.295,84630.87221,94507.78075,125831.0499,101981.0406
176.0922,3950.821881,2969.903134,3887.238028,2313.623767,3891.80611,3783.33657,2985.030106,3595.669644,3417.403061,3413.241985,1642.004396,2429.392095
391.0306,0,0,0,0,0,0,0,0,0,0,0,0
172.061,40742.2094,28389.70113,30109.64599,22889.5933,40144.58128,50224.76285,23626.35642,39206.56381,32400.39353,30098.35574,16956.8669,28282.71063
188.0745,6214.177491,12348.92655,16724.09017,4220.082673,16226.46354,14520.35181,6892.40917,10611.48216,4110.882069,7771.211414,8925.43933,13159.4118
98.9847,128608.1688,136257.7866,141631.1457,109026.1247,127951.1716,122462.577,49375.45257,90483.02662,85313.28138,181799.3671,78289.07552,149631.5553
117.0009,1860.488965,2583.670255,3795.896633,8083.902023,2592.520005,3356.229176,1264.971665,2572.694776,1887.493921,4725.268402,6026.874527,3515.551461
86.0966,487453.5598,401694.8621,439849.3997,365434.5541,517617.5452,471014.6032,284381.0942,359268.1471,401893.1447,479168.4869,245921.1069,369271.3539
505.1773,0,0,0,0,0,0,0,1169.079121,0,0,0,0
762.5299,57058.12223,0,26223.71968,34194.68535,0,52861.76649,21199.18722,35979.26015,8672.515685,44809.70468,11344.70788,41773.96048
312.1139,0,0,0,0,0,0,0,0,0,0,0,0
577.016,22837.68983,599.9239656,733.9479415,0,23915.28418,26350.76132,6196.55474,20298.85443,17862.22474,1952.990205,0,2408.115232
237.0164,26920.90587,761.5025914,666.6809684,165.4748675,26788.94076,33524.76548,9482.608248,17359.07443,14841.02976,1892.35585,219.7468629,829.6476767
218.0665,28124.07312,8602.280673,9788.885456,6523.949381,24608.77106,17894.60263,13442.53348,17681.24512,19688.28,11202.38655,5817.668461,10007.04701
294.119,61787.03545,0,0,0,67638.19896,42785.25343,26148.73466,24694.33472,28454.14212,0,0,0
334.9962,48731.44895,0,0,2744.297722,35409.30387,49166.57456,33589.74058,43125.78669,40671.31454,0,349.1535447,285.499038
423.0907,231648.5955,3264.907649,3738.513976,2703.700071,240590.2804,278916.5981,83968.0836,193012.309,104845.9195,5047.461548,2231.064285,3415.443267
279.0482,165089.9555,4071.739493,5564.767104,2880.826434,199827.4797,189871.4796,31479.09678,84531.45359,68047.76604,5975.10828,2481.214096,5739.916487
127.0393,121564.0056,8516.316974,9407.598941,11876.31852,114827.2097,132492.283,50486.24751,87940.65648,74966.2958,9331.760247,8808.330185,8928.497359
421.2711,7718.812684,9691.7138,5962.540381,5700.490954,11308.74868,19174.03781,6346.592513,10784.23816,7407.10107,10723.40953,2716.149645,10353.07412
194.114,8158.596241,9174.231696,8441.877684,9941.69582,8281.446269,8675.165278,10708.89628,10233.58642,9523.828308,6561.659656,6041.473164,8823.861457
499.323,45331.12898,23842.21773,17261.08022,24242.83145,32023.09166,34766.14989,18822.33852,29043.73899,20155.41345,22990.18971,15032.81784,21091.78288
433.3087,14203.15016,17171.6462,6089.400207,11354.5882,17133.0389,21543.84698,8482.529783,16529.59044,13017.28387,14698.7946,7028.239868,9344.957142
87.1028,496.334407,289.474799,303.8280949,208.6320056,390.8475432,272.2714199,103.6080698,234.1768837,357.1281114,450.3610123,229.3694623,340.3426263
301.9859,1543.550823,40313.53263,46552.64019,35916.53433,1690.357366,7960.563592,4257.971953,8867.026305,3577.414281,38657.47268,36369.40757,42675.00487
648.4615,97063.24056,35363.32905,22256.27198,57039.51276,76510.58743,39708.10997,44656.81416,51051.48803,27523.70472,45127.25388,27498.84557,39897.96565
442.0573,66960.55149,0,0,2998.679397,79777.49908,77162.38189,45079.65867,74832.57533,73703.98916,1889.219102,738.97254,0
227.0685,135274.9868,15410.80691,21803.77914,18474.69943,127626.94,119905.9489,160442.4233,128881.1728,144276.1106,29583.27677,15450.87336,22774.7947
343.1242,197920.1742,504.6743037,1174.188151,861.8179795,160101.8799,164214.7542,70069.54886,81095.18431,118533.6048,1834.419617,648.5304114,1517.0929
608.4297,10433.53665,3399.033095,3868.183575,4151.499648,5214.618026,2141.62987,4917.445938,4802.566876,4544.254704,9241.238937,3515.284336,7064.157379
650.4771,76486.78145,43543.61751,39611.1971,67747.91781,62411.70252,41933.89656,49328.9038,51429.08801,47191.86752,59052.42946,33709.59323,38196.24128
676.4927,477205.1653,274362.8726,209839.1351,379406.0247,398209.8372,306698.4196,324653.906,301533.6068,286986.7333,354702.5543,232443.8893,254562.3639
790.5613,35618.0177,17392.02542,12056.42688,26093.52254,35635.89149,23316.53892,20649.82176,20288.57559,18333.17368,28698.23461,15306.71332,16835.68187
110.0715,37076.83757,37715.00221,36585.56552,32845.89894,38367.00782,43157.26658,28833.71259,39872.04106,33064.23587,36931.56186,29646.41588,38354.86387
407.3504,184966.1846,101924.6882,69321.90529,99192.50679,128571.7914,124112.0084,88275.61643,103833.264,95329.55154,97299.85278,67710.29343,118094.6781
90.0916,18681.94926,15759.86008,11738.98178,9034.724316,15825.15246,16980.35897,6035.036316,14063.51162,10750.8499,9813.478788,5550.29163,10676.99212
522.3569,14122.31664,6618.085324,4505.862224,8436.351206,9050.251054,6712.231369,5818.76739,7455.406443,5828.071358,7275.689124,2115.180578,3860.713358
398.9783,7626.189568,6271.04276,5159.463616,108.5162613,7280.726312,7557.138,3512.508341,8334.97898,8265.696453,11937.22481,264.6789953,4014.272865
227.0238,17643.93461,1097.030758,1799.009892,727.7385037,18886.60921,14924.99166,12651.06718,15432.89083,13115.2173,2960.129629,864.1681326,2909.210598
386.0565,26263.85246,0,0,364.5080987,13718.39851,14980.34649,20483.60167,11215.00004,15843.37003,0,0,0
691.2111,1936.480946,0,0,0,6511.813328,8819.419895,6001.657369,12093.90016,3084.814638,0,0,0
318.301,30804.62984,23971.94597,17534.07511,19823.3202,31151.78424,25108.46879,18384.76575,23809.70136,24259.24303,25904.3391,12593.76192,19301.53829
266.1505,4237.203141,1810.617151,1543.228297,4888.570367,4200.745138,1224.694941,4036.171948,5124.31588,6017.194759,2643.808416,7307.467219,2362.353439
479.0883,14081.53008,555.911508,472.3639827,0,19821.83666,19559.47527,18685.53552,20905.37418,21098.88363,814.1227899,355.8398488,640.6992904
373.2745,0,0,0,0,0,0,165.0728088,0,154.1938366,0,0,0
300.2904,3138.836511,1147.097081,1260.396963,1528.815926,2227.427073,2688.601752,1349.195591,3083.969067,2505.763463,1716.431942,523.8784911,1743.068616
246.9801,22052.19506,13454.02538,11541.77848,9523.908017,23087.17309,29134.53258,24332.47308,21753.18172,19294.82461,15353.62179,14214.01579,13965.95428
457.0571,34040.06923,3278.13181,3582.978142,5710.15594,36707.78974,40839.59793,27779.98105,46439.55161,34628.33689,4755.399602,5290.096038,7933.334772
280.1033,19010.16854,8577.571022,7191.103497,7947.476588,20285.49176,23533.32025,17486.55491,16486.09933,14133.45965,6042.962495,7435.534457,9977.113849
299.035,31754.56461,3828.059684,2692.660126,1941.845689,33390.7648,31167.14105,30095.62546,19454.31173,29682.94004,9557.279373,2920.92385,6052.936337
480.3097,4898.025551,2465.676264,1064.966755,1540.855429,4656.449606,3914.043145,1413.612937,2672.287672,2458.406586,3529.763924,862.7954891,2208.227529
206.9261,6544.003367,10102.0103,11392.69589,10673.24598,5256.927982,8496.44802,5777.873454,8338.391769,6075.343388,10393.63522,12593.68384,10056.99641
415.3039,45369.22577,22902.10373,19782.86314,18324.59157,26881.43342,12708.84854,30791.53693,21290.11404,19770.35594,14956.15162,37781.11371,15070.90074
111.0919,417.3704788,0,0,0,231.1946515,0,403.557695,79.67361139,227.6838486,0,0,0
285.009,10706.52097,176.9120782,16.12198664,144.6964841,9172.055423,10928.48153,10402.50405,7410.333949,11043.78611,289.0362664,0,82.11990547
494.3255,33660.39855,26470.39811,18773.75145,31186.77229,30175.06246,18879.67633,19726.06257,33072.81253,15436.30986,28428.83265,64011.59542,14695.05315
377.007,14519.50113,0,0,0,16663.38862,10447.36129,8042.797031,7013.056507,8389.911188,0,0,0
256.0821,17485.43233,0,10.45957479,0,18238.00087,8228.448118,14788.6357,11183.16073,14062.08891,11.35851873,0,8.624684024
266.9655,9929.812927,13191.37343,12153.44921,6294.921244,10125.91328,13026.63189,6843.13202,8608.001071,4967.979177,13907.70175,5567.600877,11826.37664
352.1181,23457.94951,16027.13776,19922.66241,12593.09963,22948.49664,26318.94837,8467.409971,20647.57107,14323.89217,18650.40558,9181.879906,16134.36239
204.0871,29562.94057,5252.253253,5813.627818,4136.400007,28917.6022,18565.0878,17439.91845,16881.31023,19375.02747,5556.147137,3636.831211,3994.098181
224.9549,31453.66816,37380.80707,41861.15411,43523.3152,24822.72299,32231.3512,25167.24604,31648.39257,26641.72985,35762.20501,41885.21205,36273.31414
494.3252,35892.33558,26489.74141,20865.44393,27811.25357,28640.77716,19795.59241,16770.42854,25984.29165,18365.56042,24341.23586,22474.20622,13464.359
176.1034,2782.237155,1724.825407,2654.150054,3059.655082,2408.246786,2330.738546,2090.268858,2307.954641,2191.201424,2590.277903,2303.362469,2720.83196
261.0091,4915.228401,1441.932053,1941.200438,566.3616387,5223.197661,5146.275284,733.9134154,2268.734978,2039.124688,6619.332521,3315.925687,5968.934624
555.3654,4139.741696,11996.15544,9879.741983,5574.969439,4152.349575,4025.701042,3736.94417,5571.893551,2286.704059,3466.476103,22287.14938,4906.490192
1321.2124,32941.13469,17838.80305,22248.70004,10724.50966,41019.25608,41044.25472,5964.655506,24707.88258,12122.68725,18853.67029,2331.872038,18585.1714
