rxnID	coefficient	Metabolite standard name	Metabolite_type	compartment
MNXR136673	1	2',3'-cyclic CMP	reactant	extracellular
MNXR136673	1	2',3'-cyclic CMP	product	cytoplasm
MNXR136673	1	H+	product	cytoplasm
MNXR107830	1	D-tagatose	reactant	cytoplasm
MNXR107830	1	ATP	reactant	cytoplasm
MNXR107830	1	ADP	product	cytoplasm
MNXR107830	1	D-tagatofuranose 6-phosphate	product	cytoplasm
MNXR107830	1	H+	product	cytoplasm
R11623	1	D-tagatofuranose 6-phosphate	reactant	cytoplasm
R11623	1	D-fructose 6-phosphate	product	cytoplasm
MNXR104707	1	D-tagatose	reactant	extracellular
MNXR104707	1	D-tagatose	product	cytoplasm
MNXR130716	1	turanose	reactant	extracellular
MNXR130716	1	H2O	reactant	extracellular
MNXR130716	1	D-fructose	product	extracellular
MNXR130716	1	D-glucose	product	extracellular
MNXR95136	1	acetoacetate	reactant	cytoplasm
MNXR95136	1	ATP	reactant	cytoplasm
MNXR95136	1	coenzyme A	reactant	cytoplasm
MNXR95136	1	AMP	product	cytoplasm
MNXR95136	1	diphosphate	product	cytoplasm
MNXR95136	1	acetoacetyl-CoA	product	cytoplasm
MNXR95208	1	acetoacetate	reactant	extracellular
MNXR95208	1	acetoacetate	product	cytoplasm
MNXR103709	1	N(alpha)-acetyl-L-methionine	reactant	cytoplasm
MNXR103709	1	H2O	reactant	cytoplasm
MNXR103709	1	acetate	product	cytoplasm
MNXR103709	1	L-methionine	product	cytoplasm
MNXR137089	1	H+	reactant	extracellular
MNXR137089	1	N(alpha)-acetyl-L-methionine	reactant	extracellular
MNXR137089	1	N(alpha)-acetyl-L-methionine	product	cytoplasm
MNXR137089	1	H+	product	cytoplasm
MNXR106549	1	3-oxalomalate(3-)	reactant	cytoplasm
MNXR106549	1	oxaloacetate	product	cytoplasm
MNXR106549	1	glyoxylate	product	cytoplasm
MNXR137067	1	H+	reactant	extracellular
MNXR137067	1	3-oxalomalate(3-)	reactant	extracellular
MNXR137067	1	3-oxalomalate(3-)	product	cytoplasm
MNXR137067	1	H+	product	cytoplasm
MNXR111236	1	L-cysteate	reactant	cytoplasm
MNXR111236	1	H2O	reactant	cytoplasm
MNXR111236	1	pyruvate	product	cytoplasm
MNXR111236	1	ammonium	product	cytoplasm
MNXR111236	1	sulphite	product	cytoplasm
MNXR124424	1	H+	reactant	extracellular
MNXR124424	1	L-cysteate	reactant	extracellular
MNXR124424	1	L-cysteate	product	cytoplasm
MNXR124424	1	H+	product	cytoplasm
MNXR101619	1	alpha-maltotriose	reactant	extracellular
MNXR101619	1	H2O	reactant	extracellular
MNXR101619	1	maltose	product	extracellular
MNXR101619	1	D-glucose	product	extracellular
MNXR94824	1	H+	reactant	extracellular
MNXR94824	1	2-phospho-D-glyceric acid	reactant	extracellular
MNXR94824	1	2-phospho-D-glyceric acid	product	cytoplasm
MNXR94824	1	H+	product	cytoplasm
MNXR94973	1	H+	reactant	extracellular
MNXR94973	1	3-phosphonato-D-glycerate(3-)	reactant	extracellular
MNXR94973	1	3-phosphonato-D-glycerate(3-)	product	cytoplasm
MNXR94973	1	H+	product	cytoplasm
Met-Ala transport via proton symport (extracellular to cytosol)	1	Met-Ala	reactant	extracellular
Met-Ala transport via proton symport (extracellular to cytosol)	1	H+	reactant	extracellular
Met-Ala transport via proton symport (extracellular to cytosol)	1	H+	product	cytoplasm
Met-Ala transport via proton symport (extracellular to cytosol)	1	Met-Ala	product	cytoplasm
Met-Ala transport via proton symport (cytosol to vacuole)	1	H+	reactant	cytoplasm
Met-Ala transport via proton symport (cytosol to vacuole)	1	Met-Ala	reactant	cytoplasm
Met-Ala transport via proton symport (cytosol to vacuole)	1	H+	product	vacuole
Met-Ala transport via proton symport (cytosol to vacuole)	1	Met-Ala	product	vacuole
MNXR99849	1	D-glucose 1-phosphate	reactant	extracellular
MNXR99849	1	D-glucose 1-phosphate	product	cytoplasm
MNXR96488	1	carbamoyl phosphate	reactant	extracellular
MNXR96488	1	carbamoyl phosphate	product	cytoplasm
MNXR103245	1	3-phospho-serine	reactant	extracellular
MNXR103245	1	H+	reactant	extracellular
MNXR103245	1	H+	product	cytoplasm
MNXR103245	1	3-phospho-serine	product	cytoplasm
MNXR100385	1	GMP	reactant	extracellular
MNXR100385	1	H+	reactant	extracellular
MNXR100385	1	H+	product	cytoplasm
MNXR100385	1	GMP	product	cytoplasm
MNXR101585	1	myo-inositol hexakisphosphate	reactant	extracellular
MNXR101585	1	myo-inositol hexakisphosphate	product	cytoplasm
MNXR98531	1	D-glucose 6-phosphate	reactant	extracellular
MNXR98531	1	D-glucose 6-phosphate	product	cytoplasm
MNXR105127	1	UMP	reactant	extracellular
MNXR105127	1	UMP	product	cytoplasm
MNXR102493	1	phosphoenolpyruvate	reactant	extracellular
MNXR102493	1	H+	reactant	extracellular
MNXR102493	1	H+	product	cytoplasm
MNXR102493	1	phosphoenolpyruvate	product	cytoplasm
MNXR101385	1	D-mannose 6-phosphate	reactant	extracellular
MNXR101385	1	D-mannose 6-phosphate	product	cytoplasm
MNXR135002	1	O-phosphoethanolamine	reactant	extracellular
MNXR135002	1	H+	reactant	extracellular
MNXR135002	1	H+	product	cytoplasm
MNXR135002	1	O-phosphoethanolamine	product	cytoplasm
MNXR95102	1	6-phospho-D-gluconate	reactant	extracellular
MNXR95102	1	H+	reactant	extracellular
MNXR95102	1	H+	product	cytoplasm
MNXR95102	1	6-phospho-D-gluconate	product	cytoplasm
MNXR101377	1	D-mannose 1-phosphate	reactant	extracellular
MNXR101377	1	H+	reactant	extracellular
MNXR101377	1	H+	product	cytoplasm
MNXR101377	1	D-mannose 1-phosphate	product	cytoplasm
MNXR136667	1	diphosphate	reactant	extracellular
MNXR136667	2	H+	reactant	extracellular
MNXR136667	2	H+	product	cytoplasm
MNXR136667	1	diphosphate	product	cytoplasm
MNXR96703	1	choline phosphate	reactant	extracellular
MNXR96703	1	choline phosphate	product	cytoplasm
MNXR104966	1	thiosulfate	reactant	extracellular
MNXR104966	1	thiosulfate	product	cytoplasm
MNXR95831	1	AMP	reactant	extracellular
MNXR95831	1	H+	reactant	extracellular
MNXR95831	1	H+	product	cytoplasm
MNXR95831	1	AMP	product	cytoplasm
MNXR94718	1	2',3'-cyclic AMP	reactant	extracellular
MNXR94718	1	2',3'-cyclic AMP	product	cytoplasm
MNXR135007	1	adenosine 2'-phosphate	reactant	extracellular
MNXR135007	1	H+	reactant	extracellular
MNXR135007	1	H+	product	cytoplasm
MNXR135007	1	adenosine 2'-phosphate	product	cytoplasm
MNXR96805	1	CMP	reactant	extracellular
MNXR96805	1	H+	reactant	extracellular
MNXR96805	1	H+	product	cytoplasm
MNXR96805	1	CMP	product	cytoplasm
MNXR100035	1	D-Glucosamine	reactant	extracellular
MNXR100035	1	D-Glucosamine	product	cytoplasm
2-deoxy-D-ribose transport	1	2-deoxy-D-ribose	reactant	extracellular
2-deoxy-D-ribose transport	1	2-deoxy-D-ribose	product	cytoplasm
MNXR96737	1	L-citrulline	reactant	extracellular
MNXR96737	1	H+	reactant	extracellular
MNXR96737	1	H+	product	cytoplasm
MNXR96737	1	L-citrulline	product	cytoplasm
MNXR97367	1	glycerone	reactant	extracellular
MNXR97367	1	glycerone	product	cytoplasm
Ala-Leu transport via proton symport (extracellular to cytosol)	1	Ala-Leu	reactant	extracellular
Ala-Leu transport via proton symport (extracellular to cytosol)	1	H+	reactant	extracellular
Ala-Leu transport via proton symport (extracellular to cytosol)	1	H+	product	cytoplasm
Ala-Leu transport via proton symport (extracellular to cytosol)	1	Ala-Leu	product	cytoplasm
